,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0047300346
11,0.0135915065
12,0.01806161
13,0.018469876
14,0.015855957
15,0.01457429
16,0.016628612
17,0.017899845
18,0.017303716
19,0.0147719085
20,0.013870938
21,0.012229096
22,0.009538127
23,0.0083546825
24,0.008707975
25,0.009165607
26,0.00894524
27,0.011340757
28,0.010190864
29,0.008210485
30,0.007113174
31,0.0055730925
32,0.005965976
33,0.0066736746
34,0.0072456105
35,0.006959687
36,0.006144759
37,0.0059689567
38,0.0052995374
39,0.0038698989
40,0.003119196
41,0.0027407983
42,0.0024209581
43,0.0020689317
44,0.0038361389
45,0.0041618594
46,0.0030548256
47,0.001965145
48,0.0026062622
49,0.0032566832
50,0.0056899223
51,0.00695673
52,0.0069147996
53,0.006295114
54,0.0065955883
55,0.007372242
56,0.008702293
57,0.00896222
58,0.008053487
59,0.0072032115
60,0.008415199
61,0.0063222395
62,0.0059162
63,0.005303663
64,0.0050169104
65,0.005077175
66,0.0052076187
67,0.005600986
68,0.0067877276
69,0.009570589
70,0.0107618235
71,0.010171653
72,0.008986778
73,0.0065811286
74,0.0046024146
75,0.0036457977
76,0.0028759814
77,0.0039846026
78,0.0055136536
79,0.0070492798
80,0.008527289
81,0.0108323945
82,0.011783306
83,0.014602414
84,0.013593042
85,0.013294212
86,0.011717943
87,0.009758105
88,0.008164437
89,0.007934532
90,0.008316354
91,0.009874501
92,0.009578528
93,0.007676878
94,0.005324305
95,0.00446822
96,0.004824075
97,0.006037862
98,0.006972073
99,0.006634917
100,0.006222678
101,0.005331011
102,0.004368756
103,0.0041284407
104,0.0040034526
105,0.002980407
106,0.002415584
107,0.0018981649
108,0.0017181437
109,0.002790451
110,0.0039912513
111,0.0036292998
112,0.003955074
113,0.005192355
114,0.0062378068
115,0.004854443
116,0.0037899988
117,0.003600767
118,0.006174339
119,0.007920253
120,0.009776585
121,0.0110852085
122,0.014989498
123,0.0716016
124,0.6681933
125,0.7326849
126,0.57214254
127,0.46210352
128,0.3641852
129,0.2730565
130,0.20073156
131,0.14450708
132,0.09758714
133,0.065262966
134,0.048212126
135,0.03598912
136,0.025475096
137,0.015665673
138,0.00850472
139,0.0037044988
140,0.0014716351
141,0.00019985519
142,0.0
143,0.0006199077
144,0.0013130162
145,0.0014329992
146,0.0021576826
147,0.0018977545
148,0.0022661383
149,0.0019238746
150,0.0018761584
151,0.0026774306
152,0.004383663
153,0.004231677
154,0.003290738
155,0.003000373
156,0.0028905398
157,0.0021825102
158,0.003408087
159,0.0062955464
160,0.007934507
161,0.0070214854
162,0.005993264
163,0.006254377
164,0.006694873
165,0.009321309
166,0.059116635
167,0.5605038
168,0.83377594
169,0.7742566
170,0.57379544
171,0.4321789
172,0.32554632
173,0.24233173
174,0.1727366
175,0.11098127
176,0.05640591
177,0.02310199
178,0.011589875
179,0.005085632
180,0.001659855
181,0.0004379308
182,0.0
183,0.00017762667
184,0.00011730277
185,0.00045027252
186,0.001643168
187,0.0019916326
188,0.0028698945
189,0.0025774129
190,0.003370839
191,0.002927632
192,0.0041684047
193,0.005906769
194,0.006454021
195,0.0049962807
196,0.0036285694
197,0.0033604824
198,0.0026689344
199,0.0017427037
200,0.00106064
201,0.00089756714
202,0.0011331829
203,0.0022080978
204,0.0024531374
205,0.0020893274
206,0.0045496468
207,0.012221189
208,0.1533615
209,0.3776211
210,0.4154226
211,0.37340906
212,0.3108065
213,0.24781397
214,0.19358411
215,0.14358835
216,0.10122235
217,0.07525202
218,0.059407696
219,0.04800709
220,0.03754699
221,0.028070979
222,0.018242119
223,0.008837538
224,0.0024759008
225,0.000655791
226,0.0013738355
227,0.0030655258
228,0.0038460647
229,0.0046446794
230,0.0040676864
231,0.0020164547
232,0.0010629401
233,0.0005013408
234,0.0018378551
235,0.0014383539
236,0.0019287402
237,0.0029873408
238,0.0032324821
239,0.0028901245
240,0.001289156
241,0.0010420376
242,0.0011465263
243,0.0016097983
244,0.004820698
245,0.0053888084
246,0.0050779865
247,0.0065885726
248,0.007415808
249,0.0064267404
250,0.0054800436
251,0.004269095
252,0.0043227267
253,0.07912154
254,0.37699583
255,0.41123912
256,0.37654513
257,0.32104912
258,0.25752845
259,0.20808037
260,0.15703367
261,0.10197195
262,0.05050174
263,0.016722238
264,0.00613188
265,0.0020878613
266,0.0008579178
267,0.00019180763
268,0.0
269,0.00033872313
270,0.0006538845
271,0.0010311903
272,0.0021421993
273,0.0041179643
274,0.0048494404
275,0.0037627532
276,0.0038821474
277,0.0034789625
278,0.0025916626
279,0.0025276279
280,0.0020277458
281,0.002068586
282,0.002999425
283,0.0031031172
284,0.0030308252
285,0.0029319879
286,0.003972585
287,0.004241678
288,0.004921344
289,0.004711625
290,0.0056544305
291,0.0064396583
292,0.0090853665
293,0.01048368
294,0.009415794
295,0.007172506
296,0.0070390473
297,0.22609037
298,1.0
299,0.8673978
300,0.6632823
301,0.48952973
302,0.36114398
303,0.26445022
304,0.18667108
305,0.12039159
306,0.06229163
307,0.022869367
308,0.011060766
309,0.005489696
310,0.0031685317
311,0.0019187935
312,0.00079380977
313,7.238581e-05
314,0.0
315,1.2565496e-05
316,0.0004487925
317,0.00017244488
318,0.0007025516
319,0.002193024
320,0.0030491198
321,0.0038716542
322,0.0051308894
323,0.0065561933
324,0.005997858
325,0.005112005
326,0.0040662256
327,0.0033328987
328,0.0023965144
329,0.0014134997
330,0.002422271
331,0.0026017418
332,0.002401571
333,0.003383732
334,0.0052597807
335,0.005686216
336,0.0072175157
337,0.0067130877
338,0.0058085932
339,0.004837171
340,0.004437062
341,0.004244762
342,0.005093107
343,0.017538728
344,0.24508455
345,0.46758473
346,0.49160832
347,0.43146065
348,0.36610755
349,0.29459295
350,0.21971667
351,0.15194319
352,0.09089802
353,0.040886708
354,0.012103061
355,0.002172402
356,0.00075146783
357,0.000137249
358,0.0
359,0.00058959494
360,0.00086169306
361,0.0012206318
362,0.0010733869
363,0.0010116162
364,0.0012430404
365,0.0021354938
366,0.0031000879
367,0.003633467
368,0.005001145
369,0.005408949
370,0.0056944885
371,0.0051665367
372,0.0041146223
373,0.0036463873
374,0.0029327387
375,0.001863954
376,0.0017855264
377,0.0036306467
378,0.0034845292
379,0.0028277123
380,0.0026304836
381,0.0025054868
382,0.012457704
383,0.18610142
384,0.37816113
385,0.43957478
386,0.40901297
387,0.33861145
388,0.2630254
389,0.19610399
390,0.13211842
391,0.075231224
392,0.027608842
393,0.0068179895
394,0.0027468957
395,0.0009608992
396,0.00067592156
397,0.000664845
398,0.0006414089
399,0.0004780862
400,0.00022293808
401,0.00064067764
402,0.0010370974
403,0.00072524167
404,0.0006915409
405,0.0012217496
406,0.0021090116
407,0.0027735254
408,0.0034794505
409,0.0034942913
