,0
0,0.0
1,0.0
2,0.0
3,0.5494769
4,0.37548023
5,0.54121286
6,0.5584328
7,0.463073
8,0.43114945
9,0.27785978
10,0.114242256
11,0.18456738
12,0.2409885
13,0.15843986
14,0.09161639
15,1.1452667
16,7.5866456
17,6.481062
18,1.9840885
19,0.09639674
20,0.020458117
21,0.035871834
22,0.1959605
23,0.739205
24,0.47460935
25,0.35159278
26,0.59388036
27,14.101231
28,10.865235
29,2.020913
30,0.032630112
31,0.0
32,0.040117644
33,0.09760227
34,0.06341088
35,0.061524417
36,0.18523087
37,0.19642591
38,6.2844405
39,12.165711
40,3.4472308
41,0.07949859
42,0.0057921037
43,0.02479532
44,0.042077824
45,0.1942382
46,0.24989162
47,0.22226161
48,0.2870872
49,1.9450889
50,8.629308
51,3.2789237
52,0.02936919
53,0.0
54,0.0099595785
55,0.123192415
56,0.11951472
57,0.16337316
58,0.13380496
59,0.28734905
60,0.2147472
61,2.5257044
62,19.084589
63,7.311687
64,0.2950184
65,0.0
66,0.0
67,0.016763773
68,0.06615208
69,0.00017504394
70,0.0035808384
71,0.004153356
72,0.055054218
73,3.6777432
74,4.5471115
75,0.9196636
76,0.0027837753
77,0.015836537
78,2.6911497e-05
79,0.02150765
80,0.07633372
81,0.03308256
82,0.035161383
83,0.012580648
84,5.6499104
85,10.366924
86,3.3885436
87,0.04818196
88,0.0
89,0.0
90,0.0
91,0.028016746
92,0.006966751
93,0.023609968
94,0.23091513
95,6.822075
96,3.6503434
97,0.248438
98,0.0030802488
99,0.0016135611
100,0.05165073
101,0.027956061
102,0.0
103,0.02121012
104,0.14502628
105,0.05295188
106,0.0059194267
107,5.773746
108,7.054049
109,1.6110755
110,0.017422508
111,0.0
112,0.04912404
113,0.015288733
114,0.011107628
115,0.030042129
116,0.018521357
117,8.528937
118,15.938091
119,4.6116343
120,0.078617215
121,0.01356411
122,0.0
123,0.07345427
124,0.028396893
125,0.006400183
126,0.01551795
127,0.0012050569
128,0.05319819
129,2.1931908
130,1.7093515
131,0.28528613
132,0.04467102
133,0.0036212355
134,0.056839574
135,0.016122252
136,0.014698796
137,0.018078662
138,0.05141602
139,1.2007668
140,14.894979
141,6.736366
142,1.8889859
143,0.42767507
144,0.04039567
145,0.053985775
146,0.0
147,0.36061376
148,0.10381209
149,0.061600253
150,0.021887433
151,0.047696598
152,0.7198645
153,3.1071854
154,1.0688988
155,0.086754285
156,0.010272216
157,0.0039459094
158,0.00197196
159,0.020579379
160,0.029732157
161,0.0
162,5.3411894
163,16.268957
164,6.030845
165,0.17997602
166,0.0
167,0.0
168,0.0591103
169,0.059716832
170,0.056542307
171,0.013518989
172,0.0052975714
173,0.053230077
174,0.13305008
175,6.3644705
176,5.406668
177,1.4934107
178,0.041670866
179,0.0032201335
180,0.00087446347
181,0.020392425
182,0.019653708
183,0.029917415
184,0.011686497
185,1.0875859
186,4.7582726
187,1.805656
188,0.10035659
189,0.0
190,0.004492007
191,0.022912648
192,0.01339015
193,0.03876239
194,0.0431981
195,2.2500753e-06
196,0.04659445
197,10.179529
198,14.848815
199,3.9277196
200,0.067379616
201,0.0065159854
202,0.0
203,0.09933199
204,0.056357987
205,0.012810506
206,0.0
207,0.06667547
208,0.23099242
209,6.17955
210,5.6459336
211,0.6759969
212,0.15802217
213,0.01977957
214,0.015151769
215,0.051464796
216,0.040000428
217,0.007815748
218,0.0
219,0.08729468
220,14.237926
221,11.351793
222,2.2834861
223,0.038509853
224,0.04737188
225,0.0
226,0.050548874
227,0.0008058548
228,0.016430847
229,0.046881422
230,0.13811953
231,0.16749719
232,2.4500628
233,1.3851035
234,0.10259035
235,0.027044121
236,0.08390037
237,0.051160585
238,0.0104507655
239,0.004282564
240,0.010490201
241,0.030627307
242,0.55673873
243,14.454737
244,8.251773
245,2.6851578
246,0.40420556
247,0.17745534
248,0.035904676
249,0.0037937723
250,0.114038646
251,0.19972467
252,0.07544169
253,0.09111918
254,0.72153115
255,1.5193675
256,0.068437725
257,0.0
258,0.0
259,0.011398032
260,0.0048361644
261,0.1456805
262,0.13792355
263,0.08051482
264,0.028915014
265,0.0
266,0.26103067
267,7.0681205
268,3.4295852
269,0.2826859
270,0.010791676
271,0.0
272,0.0048707724
273,0.024912886
274,0.006275475
275,0.0
276,0.0059027225
277,4.1755733
278,16.332209
279,5.6452074
280,0.12593563
281,0.0
282,0.00037746504
283,0.10096464
284,0.020144295
285,0.0
286,0.025006458
287,0.012091413
288,0.019466132
289,1.5136881
290,13.331964
291,5.2387905
292,0.11291681
293,0.0
294,0.0
295,0.023169875
296,0.07069055
297,0.1655407
298,0.04936047
299,0.07884525
300,2.0943012
301,16.73646
302,7.126883
303,0.35238674
304,0.0
305,0.0035780221
306,0.006811075
307,0.092613116
308,0.009575956
309,0.012347788
310,0.021609902
311,0.022677451
312,4.94163
313,10.088941
314,3.03146
315,0.07789192
316,0.14330992
317,0.16014628
318,0.0091751795
319,0.0071783457
320,0.03377641
321,0.30011833
322,0.44880646
323,15.985136
324,10.397411
325,1.7883489
326,0.0
327,0.0
328,0.010483295
329,0.09784121
330,0.007467434
331,0.011063598
332,0.00569652
333,0.42900106
334,1.1204379
335,1.090277
336,14.903475
337,5.5719767
338,0.24494907
339,0.0039151013
340,0.1426737
341,0.026739564
342,0.09648428
343,0.00036084652
344,0.03740736
345,0.04726184
346,1.6224253
347,4.5431995
348,1.3797264
349,0.07806175
350,0.0
351,0.017734438
352,0.042270027
353,0.0
354,0.015780352
355,0.03166414
356,0.022186995
357,0.16999096
358,17.124489
359,10.941562
360,2.0175688
361,0.04005102
362,0.0
363,0.019920722
364,0.06889866
365,0.022701137
366,0.025480017
367,0.007341385
368,0.0037454218
369,1.498053
370,6.0707364
371,2.6791975
372,0.15621927
373,0.010317661
374,0.0
375,0.07272215
376,0.03044103
377,0.0039351806
378,0.008785158
379,0.030605666
380,0.0038447678
381,1.188138
382,15.267997
383,7.248649
384,0.42016685
385,0.007474661
386,0.009665705
387,0.0039383024
388,0.0225223
389,0.04702592
390,0.026325822
391,0.06064313
392,0.023070656
393,0.0
394,0.0403103
395,0.051839523
396,0.054688223
397,0.054836333
398,0.044440508
399,0.06742567
400,0.036961403
401,0.011029206
402,0.0028615296
403,0.033691853
404,0.003690958
405,0.009240285
406,0.05614119
407,0.042010844
408,0.0
409,0.0600549
410,0.0546567
411,0.036382094
412,0.012220055
413,0.008963048
414,0.0
415,0.019886851
416,0.022094578
417,0.018611968
418,0.028233558
419,0.007950515
420,0.024817392
421,0.044092223
422,0.03132844
423,0.0035956204
424,0.018930912
